LAX,Lmmotm33Ff,PdWJsRA7Gj,130.9552,-45.5892,aUGFvyjPZ9
LAS,0ZkaqrUqer,JflB77Ztmh,128.4061,-5.051,vgYbQkcXFF
LAX,Jx5V032qJo,KaAUYdWCTz,1.0055,-16.081,xd4l9ubvH6
LAS,GcBtu3ipiA,WtwW9tBiX3,-47.5504,-46.8879,D5PbePjQYChY
LAS,rm98X5hSF3,g7jPbNoCRe,-18.6252,-78.7563,Ke9z7wvQ8PQ8P2QPQPj
LAS,nR6DVS5JoG,WDvOl49mOj,12.6748,-80.27,9xEaIdL2VN
LAS,3hr3IS3jJJ,7vWfVGjf6K,166.8078,-45.1776,Z9gTRahYFM
LAX,6ehcPDBYr,qeohJTZvp,-9.0259,-61.4584,d1T1uPwxWS
LAX,qXp9qIhOm,DU68VbtSA9,112.6372,0.5847,Q6TiTtPzTZTZTZTZTZt
LAS,xB9mIOKz3e,fcNFS51wS5,161.8229,53.0903,zX2j1EowUXEOwg
LAS,wGDTmVJ1Eh,xuzDp9hc86,144.3474,67.9459,325QuaUgfR
LAX,2uWVu9unTa,lVwHQ8UbA7,98.9663,-5.4217,6VZY4fuvYr
LAX,0e2azsGqmw,9rtrkJ7qPj,-86.1238,38.0298,k515tX0kL9kcAwzGxP
LAS,qxfNvgXDlD,qJ6u7YyVFA,101.2707,77.1328,JbFk2JJYFM
LAS,MZ8TT6ge8O,2WtkUN5W7e,46.9876,-6.1606,cWq30EOwgqLqLqm
LAX,2rM9XW8DmY,3QFnF9kqmN,118.4673,12.5273,QnFnFnFNSOAvgep
LAX,0iOtp8bLsD,0U7hn7QnxN,118.4673,12.4781,stSLMrNHw5tIa
LAX,3yjHilpwtE,Sk9f4m1RYX,142.1862,-45.1279,aLjmzLAsT97CxT2r
LAX,4TNFWsfyPkl,NFS51wS5y,-128.7638,-25.8419,W8b5CweQnX2QYn
LAX,GlRPBo7WwG,iGIhZ1sKH2,-173.0922,-44.1542,eUecyXMKqoDVu
LAS,zVkj9oRQSL,wGlpjbNjyM,89.1172,-89.7029,OSCE5PUo1x8K
LAS,KpGtCpopzl,u42NGGTjfA,-40.8652,-10.4289,TlzeuIKncn
LAX,GZ8Jhn7QQX,zF6I15Q,68.0603,36.5877,t7MiK5S657
LAS,0zGYoc8TLc,qzZsAyH6lN,6.5064,-89.1776,GF11peDapx
LAX,5AUs8Ba5Rk,LDYi5fZzKH2,-101.1478,-16.1605,4bJaqTBNGh5sVH6
LAX,5sH78hJeKQ,XzKToFKLSZ,51.2509,26.866,IfJgbZRDPj
LAX,TjwHjpCnJ5,sduHxutIil,11.165,12.8394,7CM5fRu6qT
LAS,MZ8TT6ge8O,2WtkUN5W7e,46.9876,-13.5732,cWq30EOwgqmSdg
LAX,XrzKDdWJsRA7,8iGIhZ3,-26.9985,-41.1493,FcNBF7Iuz6I
LAX,Tp1WUXfNF,FUCtsgXkAI,-21.0715,-18.5273,gbeGFjjVS0
LAS,rm98X5hSF3,g7jPbNoCRe,-18.6252,-78.7563,Ke9z7wvQ8PQ8PjP8P2QK
LAX,G4TNFWsfyP,NmS7ZW9xPQ,75.371,74.1602,W4pCm1xAXJp
